source,target,method_id,scope,held_out_group,metric,point_estimate,bootstrap_median,ci_lower_95,ci_upper_95,ci_width,fixed_draw_count,valid_draw_count,invalid_draw_count,valid_draw_fraction,original_metric_status
a1_3,looping,B3,macro,,f1,0.6308659815536469,0.6277807214250002,0.5310175247356467,0.7086291343922607,0.17761160965661404,10000,10000,0,1.0,ok
a1_3,looping,B3,macro,,ap_lift,0.25741699660721723,0.2648952753452502,0.16514096385987545,0.37078050697497317,0.20563954311509772,10000,10000,0,1.0,ok
a1_5,success,S0_full13,macro,,ap,0.4798096424543246,0.5347621526141066,0.3824526449927059,0.7357529687921065,0.3533003237994006,10000,10000,0,1.0,ok
a1_5,success,S0_full13,macro,,f1,0.5173043038079567,0.5446706907958353,0.3918021708124448,0.7105885301489017,0.3187863593364569,10000,10000,0,1.0,ok
a1_5,success,S0_full13,macro,,ap_lift,0.18040488054956272,0.2094505748821141,0.10839777834625249,0.34357566863044275,0.23517789028419028,10000,10000,0,1.0,ok
a1_5,success,S1_no_termination,macro,,ap,0.5181580179647153,0.5766788170650322,0.422459479474734,0.7162902507260309,0.2938307712512969,10000,10000,0,1.0,ok
a1_5,success,S1_no_termination,macro,,f1,0.5263047138047139,0.5522976036133931,0.40825373606889565,0.701062826062826,0.29280908999393035,10000,10000,0,1.0,ok
a1_5,success,S1_no_termination,macro,,ap_lift,0.21875325605995338,0.24486312727820664,0.13506399427793392,0.35634747433608865,0.22128348005815474,10000,10000,0,1.0,ok
a1_5,success,S2_no_repetition,macro,,ap,0.5048512990752385,0.5605692394123396,0.41029023503000284,0.7578530109220619,0.3475627758920591,10000,10000,0,1.0,ok
a1_5,success,S2_no_repetition,macro,,f1,0.5511589105339105,0.5809585032299445,0.42407660867789143,0.7579830290482464,0.333906420370355,10000,10000,0,1.0,ok
a1_5,success,S2_no_repetition,macro,,ap_lift,0.20544653717047656,0.23573952651484462,0.1389082303682252,0.37046547073049324,0.23155724036226805,10000,10000,0,1.0,ok
a1_5,success,S3_no_activity_volume,macro,,ap,0.645246128262102,0.6568312110687545,0.5100314553495944,0.7701998020080535,0.2601683466584591,10000,10000,0,1.0,ok
a1_5,success,S3_no_activity_volume,macro,,f1,0.5891682330827067,0.6193012518670413,0.4769187675070028,0.756891495783307,0.27997272827630415,10000,10000,0,1.0,ok
a1_5,success,S3_no_activity_volume,macro,,ap_lift,0.3458413663573402,0.3265342230897499,0.20813402258706834,0.4216008701327306,0.21346684754566228,10000,10000,0,1.0,ok
a1_5,success,S4_no_error,macro,,ap,0.4959408654453192,0.5582395442130832,0.40293583307054065,0.748587924299508,0.3456520912289674,10000,10000,0,1.0,ok
a1_5,success,S4_no_error,macro,,f1,0.5189213564213564,0.545030107496105,0.4010201829712924,0.6990141740384281,0.29799399106713576,10000,10000,0,1.0,ok
a1_5,success,S4_no_error,macro,,ap_lift,0.19653610354055728,0.23104005451969756,0.1267946788084132,0.360455998827626,0.23366132001921283,10000,10000,0,1.0,ok
a1_5,success,S5_no_termination_or_repetition,macro,,ap,0.49768833376611404,0.5555765400173813,0.405263442003644,0.7384310875253626,0.33316764552171857,10000,10000,0,1.0,ok
a1_5,success,S5_no_termination_or_repetition,macro,,f1,0.5440826330532214,0.5725302103685048,0.4154479439608592,0.7232930649254342,0.307845120964575,10000,10000,0,1.0,ok
a1_5,success,S5_no_termination_or_repetition,macro,,ap_lift,0.19828357186135215,0.23000194762626874,0.13212300117232975,0.35119953847012186,0.2190765372977921,10000,10000,0,1.0,ok
