target,held_out_group,variant_id,delta_AP,delta_F1,delta_AP_lift,macro_delta_AP,macro_delta_F1,pooled_delta_AP,pooled_delta_F1,retained_AP_lift_ratio,mixed_domain_ap_decline_count,mixed_domain_count,domains_with_ap_decline_gte_0p05,frozen_dependency_classification
success,webarena,S4_no_error,0.023881045068549434,-0.020523138832998056,0.023881045068549434,0.016131222990994565,0.0016170526133997276,0.061457814211395345,0.0034232943237003655,1.3858475950413023,1,4,0,limited_dependency
success,workarena,S4_no_error,-0.0046992903594731406,-0.021317829457364268,-0.0046992903594731406,0.016131222990994565,0.0016170526133997276,0.061457814211395345,0.0034232943237003655,1.3858475950413023,1,4,0,limited_dependency
success,assistantbench,S5_no_termination_or_repetition,0.03839869281045752,0.0927536231884058,0.03839869281045752,0.01787869131178943,0.026778329245264576,-0.04670061688841037,0.036897274633123645,0.7068017965728876,1,4,0,limited_dependency
success,visualwebarena,S5_no_termination_or_repetition,-0.03628529694706173,0.022727272727272707,-0.03628529694706173,0.01787869131178943,0.026778329245264576,-0.04670061688841037,0.036897274633123645,0.7068017965728876,1,4,0,limited_dependency
success,webarena,S5_no_termination_or_repetition,0.002175842504510306,0.024855012427506207,0.002175842504510306,0.01787869131178943,0.026778329245264576,-0.04670061688841037,0.036897274633123645,0.7068017965728876,1,4,0,limited_dependency
success,workarena,S5_no_termination_or_repetition,0.06722552687925165,-0.03322259136212624,0.06722552687925165,0.01787869131178943,0.026778329245264576,-0.04670061688841037,0.036897274633123645,0.7068017965728876,1,4,0,limited_dependency
success,assistantbench,S6_termination_repetition_only,0.028297682709447408,0.11180124223602483,0.028297682709447408,0.03178915498347995,0.06574285736420449,-0.015252000187100656,0.04578616352201259,0.9042441117166984,0,4,0,sufficiency_only_not_dependency_grade
success,visualwebarena,S6_termination_repetition_only,0.05032143782143783,0.11888111888111885,0.05032143782143783,0.03178915498347995,0.06574285736420449,-0.015252000187100656,0.04578616352201259,0.9042441117166984,0,4,0,sufficiency_only_not_dependency_grade
success,webarena,S6_termination_repetition_only,0.009730867628475137,-0.0505597688696281,0.009730867628475137,0.03178915498347995,0.06574285736420449,-0.015252000187100656,0.04578616352201259,0.9042441117166984,0,4,0,sufficiency_only_not_dependency_grade
success,workarena,S6_termination_repetition_only,0.03880663177455945,0.08284883720930236,0.03880663177455945,0.03178915498347995,0.06574285736420449,-0.015252000187100656,0.04578616352201259,0.9042441117166984,0,4,0,sufficiency_only_not_dependency_grade
side_effect,assistantbench,S0_full13,,,,0.0,0.0,0.0,0.0,,0,3,0,reference
side_effect,visualwebarena,S0_full13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,3,0,reference
side_effect,webarena,S0_full13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,3,0,reference
side_effect,workarena,S0_full13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,3,0,reference
side_effect,assistantbench,S1_no_termination,,,,0.00018302728634830845,-0.010843653700796561,0.0047303081663959,-0.010131532172058304,,1,3,0,not_assessable_nonpositive_s0_ap_lift
