figure_id,panel,series,label,value_type,source_field,exact_value,display_value,source_artifact,source_row_key,evidence_status,trajectory_key,error_type,case_role,primary_code
FigS1_SideEffect_Exploratory_AP_Lift,appendix,Side Effect,Side Effect upper,numeric,AP_lift_CI_high,0.079199755454644902,0.079,artifacts/a2_3_table_1_main_heldout_results.csv,target=Side Effect,EXPLORATORY_SUPPORTED,,,,
FigS2_Benchmark_Heterogeneity,A,Success,assistantbench,numeric,AP,0.35664286093142478,0.357,artifacts/a2_3_table_4_benchmark_heterogeneity.csv,target=Success|benchmark=assistantbench,DESCRIPTIVE_ONLY,,,,
FigS2_Benchmark_Heterogeneity,A,Success,visualwebarena,numeric,AP,0.65371377322575641,0.654,artifacts/a2_3_table_4_benchmark_heterogeneity.csv,target=Success|benchmark=visualwebarena,DESCRIPTIVE_ONLY,,,,
FigS2_Benchmark_Heterogeneity,A,Success,webarena,numeric,AP,0.64238981349837865,0.642,artifacts/a2_3_table_4_benchmark_heterogeneity.csv,target=Success|benchmark=webarena,DESCRIPTIVE_ONLY,,,,
FigS2_Benchmark_Heterogeneity,A,Success,workarena,numeric,AP,0.67478249870682472,0.675,artifacts/a2_3_table_4_benchmark_heterogeneity.csv,target=Success|benchmark=workarena,DESCRIPTIVE_ONLY,,,,
FigS2_Benchmark_Heterogeneity,B,Looping,assistantbench,numeric,AP,0.71268539178793511,0.713,artifacts/a2_3_table_4_benchmark_heterogeneity.csv,target=Looping|benchmark=assistantbench,DESCRIPTIVE_ONLY,,,,
FigS2_Benchmark_Heterogeneity,B,Looping,visualwebarena,numeric,AP,0.86925485267751856,0.869,artifacts/a2_3_table_4_benchmark_heterogeneity.csv,target=Looping|benchmark=visualwebarena,DESCRIPTIVE_ONLY,,,,
FigS2_Benchmark_Heterogeneity,B,Looping,webarena,numeric,AP,0.93054123427050739,0.931,artifacts/a2_3_table_4_benchmark_heterogeneity.csv,target=Looping|benchmark=webarena,DESCRIPTIVE_ONLY,,,,
FigS2_Benchmark_Heterogeneity,B,Looping,workarena,numeric,AP,0.96316920731113065,0.963,artifacts/a2_3_table_4_benchmark_heterogeneity.csv,target=Looping|benchmark=workarena,DESCRIPTIVE_ONLY,,,,
FigS2_Benchmark_Heterogeneity,C,Side Effect,assistantbench,numeric,AP,0.044366133550194274,0.044,artifacts/a2_3_table_4_benchmark_heterogeneity.csv,target=Side Effect|benchmark=assistantbench,DESCRIPTIVE_ONLY,,,,
FigS2_Benchmark_Heterogeneity,C,Side Effect,visualwebarena,numeric,AP,0.13641754238732393,0.136,artifacts/a2_3_table_4_benchmark_heterogeneity.csv,target=Side Effect|benchmark=visualwebarena,DESCRIPTIVE_ONLY,,,,
FigS2_Benchmark_Heterogeneity,C,Side Effect,webarena,numeric,AP,0.10240745247563374,0.102,artifacts/a2_3_table_4_benchmark_heterogeneity.csv,target=Side Effect|benchmark=webarena,DESCRIPTIVE_ONLY,,,,
FigS2_Benchmark_Heterogeneity,C,Side Effect,workarena,numeric,AP,0.11650994453207834,0.117,artifacts/a2_3_table_4_benchmark_heterogeneity.csv,target=Side Effect|benchmark=workarena,DESCRIPTIVE_ONLY,,,,
