source,target,method_id,scope,held_out_group,metric,point_estimate,bootstrap_median,ci_lower_95,ci_upper_95,ci_width,fixed_draw_count,valid_draw_count,invalid_draw_count,valid_draw_fraction,original_metric_status
a1_3,side_effect,B2,pooled,,ap,0.04168967825924332,0.04418381920778985,0.017842317066374132,0.08695055817825408,0.06910824111187994,10000,9999,1,0.9999,ok
a1_3,side_effect,B2,pooled,,f1,0.061855670103092786,0.06060606060606061,0.0,0.12727272727272726,0.12727272727272726,10000,9999,1,0.9999,ok
a1_3,side_effect,B2,pooled,,ap_lift,-0.01984878327921822,-0.015031453102174255,-0.03420246725280594,0.0009821280566734813,0.03518459530947943,10000,9999,1,0.9999,ok
a1_3,side_effect,B3,pooled,,ap,0.047532054277202536,0.05238911487073775,0.02430098425483276,0.08706465402931544,0.06276366977448268,10000,9999,1,0.9999,ok
a1_3,side_effect,B3,pooled,,f1,0.16071428571428573,0.15384615384615385,0.03669724770642202,0.3063063063063063,0.26960905859988427,10000,9999,1,0.9999,ok
a1_3,side_effect,B3,pooled,,ap_lift,-0.014006407261259006,-0.009423677143371952,-0.032210739291376016,0.018518877969964022,0.05072961726134004,10000,9999,1,0.9999,ok
a1_3,looping,B0,pooled,,ap,0.4497080947003308,0.4517112870518186,0.35320963007482126,0.5621291514148657,0.2089195213400445,10000,10000,0,1.0,ok
a1_3,looping,B0,pooled,,f1,0.4111111111111111,0.4093567251461988,0.29069767441860467,0.5257867607162233,0.23508908629761865,10000,10000,0,1.0,ok
a1_3,looping,B0,pooled,,ap_lift,-0.019679660401710042,-0.02003710575139145,-0.04591570170387904,0.02954255565862703,0.07545825736250607,10000,10000,0,1.0,ok
a1_3,looping,B1,pooled,,ap,0.4361162449169391,0.43800284043236065,0.3360707990582597,0.5554155565073873,0.21934475744912757,10000,10000,0,1.0,ok
a1_3,looping,B1,pooled,,f1,0.6388888888888888,0.6388888888888888,0.5481481481481482,0.7231270358306189,0.17497888768247072,10000,10000,0,1.0,ok
a1_3,looping,B1,pooled,,ap_lift,-0.033271510185101716,-0.032951398625275824,-0.07342717356409381,0.0293814632297611,0.10280863679385491,10000,10000,0,1.0,ok
a1_3,looping,B2,pooled,,ap,0.83603956358356,0.841610806908631,0.727088369996837,0.9342721367151755,0.2071837667183385,10000,10000,0,1.0,ok
a1_3,looping,B2,pooled,,f1,0.8844221105527639,0.8844221105527639,0.8295454545454546,0.9313725490196079,0.10182709447415328,10000,10000,0,1.0,ok
a1_3,looping,B2,pooled,,ap_lift,0.3666518084815192,0.3673771701860853,0.2735076921891858,0.47189963220801606,0.19839194001883026,10000,10000,0,1.0,ok
a1_3,looping,B3,pooled,,ap,0.6669546240001409,0.6772212724996898,0.554612427334244,0.7907199985613097,0.23610757122706572,10000,10000,0,1.0,ok
a1_3,looping,B3,pooled,,f1,0.6394052044609665,0.6402877697841727,0.5425101214574899,0.7259798664261687,0.18346974496867885,10000,10000,0,1.0,ok
a1_3,looping,B3,pooled,,ap_lift,0.1975668688981001,0.20478918308056082,0.11171010934391358,0.3067939557795264,0.19508384643561283,10000,10000,0,1.0,ok
a1_5,success,S0_full13,pooled,,ap,0.4613633573666999,0.4746525734532885,0.31858534089741347,0.6462826228103652,0.3276972819129517,10000,10000,0,1.0,ok
a1_5,success,S0_full13,pooled,,f1,0.5408805031446541,0.5369127516778524,0.3815632832080201,0.6627906976744186,0.2812274144663985,10000,10000,0,1.0,ok
a1_5,success,S0_full13,pooled,,ap_lift,0.1592800240333666,0.17001642121983937,0.06903131378087081,0.30871378766721735,0.23968247388634656,10000,10000,0,1.0,ok
a1_5,success,S1_no_termination,pooled,,ap,0.4264247397347594,0.4393080591381451,0.3064502244902748,0.5815307669804097,0.2750805424901349,10000,10000,0,1.0,ok
a1_5,success,S1_no_termination,pooled,,f1,0.5540540540540541,0.5521472392638037,0.4032258064516129,0.6707317073170732,0.26750590086546033,10000,10000,0,1.0,ok
a1_5,success,S1_no_termination,pooled,,ap_lift,0.1243414064014261,0.13659810809177517,0.05297403289191449,0.24553756799130086,0.19256353509938637,10000,10000,0,1.0,ok
a1_5,success,S2_no_repetition,pooled,,ap,0.44784765352962375,0.45845670679776446,0.3091227857322019,0.6230293160358021,0.3139065303036002,10000,10000,0,1.0,ok
a1_5,success,S2_no_repetition,pooled,,f1,0.5673758865248227,0.5652173913043478,0.42105263157894735,0.6826347305389222,0.26158209895997486,10000,10000,0,1.0,ok
a1_5,success,S2_no_repetition,pooled,,ap_lift,0.14576432019629043,0.15448032385460703,0.06392649217709681,0.27823677301840366,0.21431028084130685,10000,10000,0,1.0,ok
a1_5,success,S3_no_activity_volume,pooled,,ap,0.4332504878169549,0.44502213092558296,0.29413906152836183,0.6010163715632149,0.306877310034853,10000,10000,0,1.0,ok
