artifact_id,artifact_path,location_kind,source_artifact,source_row_key,source_field,exact_value,display_value,format_rule,evidence_status
Table2_Efficiency_Complexity,paper/tables/Table2_Efficiency_Complexity.md,table,artifacts/a2_3_table_2_efficiency_tradeoff.csv,method=B4,classifier_size_bytes,8536,8.34 KiB,bytes_to_KiB_3_significant_digits,EFFICIENCY_BENCHMARK
Table2_Efficiency_Complexity,paper/tables/Table2_Efficiency_Complexity.md,table,artifacts/a2_3_table_2_efficiency_tradeoff.csv,method=B4,encoder_size_bytes,1191586416,1.16e6 KiB,bytes_to_KiB_3_significant_digits,EFFICIENCY_BENCHMARK
Table2_Efficiency_Complexity,paper/tables/Table2_Efficiency_Complexity.md,table,artifacts/a2_3_table_2_efficiency_tradeoff.csv,method=B4,peak_cpu_rss_mb,2163.0234375,2.16e3 MiB,memory_3_significant_digits,EFFICIENCY_BENCHMARK
Table2_Efficiency_Complexity,paper/tables/Table2_Efficiency_Complexity.md,table,artifacts/a2_3_table_2_efficiency_tradeoff.csv,method=B4,peak_gpu_vram_mb,1536.0,1.54e3 MiB,memory_3_significant_digits,EFFICIENCY_BENCHMARK
Table3_Dev_Representation_Robustness,paper/tables/Table3_Dev_Representation_Robustness.md,table,artifacts/a2_3_table_3_dev_representation_summary.csv,row=1|stage=A1.2|target=success,point_estimate,0.5460325657667283,0.546,predictive_metric_3_decimal_places,DEV_ONLY
Table3_Dev_Representation_Robustness,paper/tables/Table3_Dev_Representation_Robustness.md,table,artifacts/a2_3_table_3_dev_representation_summary.csv,row=2|stage=A1.2|target=side_effect,point_estimate,0.2256074459108069,0.226,predictive_metric_3_decimal_places,EXPLORATORY_DEV
Table3_Dev_Representation_Robustness,paper/tables/Table3_Dev_Representation_Robustness.md,table,artifacts/a2_3_table_3_dev_representation_summary.csv,row=3|stage=A1.2|target=looping,point_estimate,0.9045369820471402,0.905,predictive_metric_3_decimal_places,DEV_ONLY
Table3_Dev_Representation_Robustness,paper/tables/Table3_Dev_Representation_Robustness.md,table,artifacts/a2_3_table_3_dev_representation_summary.csv,row=4|stage=A1.3|target=success,point_estimate,0.4798096424543246,0.480,predictive_metric_3_decimal_places,DEV_ONLY
Table3_Dev_Representation_Robustness,paper/tables/Table3_Dev_Representation_Robustness.md,table,artifacts/a2_3_table_3_dev_representation_summary.csv,row=5|stage=A1.3|target=side_effect,point_estimate,0.11194123811143843,0.112,predictive_metric_3_decimal_places,EXPLORATORY_DEV
Table3_Dev_Representation_Robustness,paper/tables/Table3_Dev_Representation_Robustness.md,table,artifacts/a2_3_table_3_dev_representation_summary.csv,row=6|stage=A1.3|target=looping,point_estimate,0.8508412981380737,0.851,predictive_metric_3_decimal_places,DEV_ONLY
Table3_Dev_Representation_Robustness,paper/tables/Table3_Dev_Representation_Robustness.md,table,artifacts/a2_3_table_3_dev_representation_summary.csv,row=7|stage=A1.4|target=success,point_estimate,0.8604552991594263,0.860,predictive_metric_3_decimal_places,EXPLORATORY_DEV
Table3_Dev_Representation_Robustness,paper/tables/Table3_Dev_Representation_Robustness.md,table,artifacts/a2_3_table_3_dev_representation_summary.csv,row=8|stage=A1.4|target=side_effect,point_estimate,0.6226307189542484,0.623,predictive_metric_3_decimal_places,EXPLORATORY_DEV
