evidence_id,stage_id,target,protocol,method_or_variant,metric_or_estimand,point_estimate,ci_lower,ci_upper,valid_fraction,sample_size,positive_count,support_role,source_artifact,source_row_key,formal_commit,notes
E_A16_P3_SUCCESS_POOLED_AP,A1.6,success,fixed task-group cluster bootstrap over primary LOBO predictions,S1_no_termination-S0_full13,pooled_ap_delta_A_minus_B,-0.034938617631940505,-0.11230306683472821,0.02712767756398399,1.0,192,58,secondary,artifacts/a1_6_primary_paired_delta_summary.csv,comparison_id=P3;target=success;scope=pooled;metric=ap,040d081d3359f75f1303f4c24d7f8be79b5da75d,grade=difference_uncertain; fixed draws=10000; no new draw in A1.8
E_A16_P3_SUCCESS_MACRO_F1,A1.6,success,fixed task-group cluster bootstrap over primary LOBO predictions,S1_no_termination-S0_full13,macro_f1_delta_A_minus_B,0.00900040999675722,-0.10898222737417243,0.0964926171485457,1.0,192,58,secondary,artifacts/a1_6_primary_paired_delta_summary.csv,comparison_id=P3;target=success;scope=macro;metric=f1,040d081d3359f75f1303f4c24d7f8be79b5da75d,grade=difference_uncertain; fixed draws=10000; no new draw in A1.8
E_A16_P4_SUCCESS_MACRO_AP,A1.6,success,fixed task-group cluster bootstrap over primary LOBO predictions,S6_termination_repetition_only-S0_full13,macro_ap_delta_A_minus_B,0.03178915498347995,-0.06536795880376504,0.09781017414591521,1.0,192,58,primary,artifacts/a1_6_primary_paired_delta_summary.csv,comparison_id=P4;target=success;scope=macro;metric=ap,040d081d3359f75f1303f4c24d7f8be79b5da75d,grade=difference_uncertain; fixed draws=10000; no new draw in A1.8
E_A16_P4_SUCCESS_POOLED_AP,A1.6,success,fixed task-group cluster bootstrap over primary LOBO predictions,S6_termination_repetition_only-S0_full13,pooled_ap_delta_A_minus_B,-0.015252000187100656,-0.1436185253788621,0.08769599440557069,1.0,192,58,secondary,artifacts/a1_6_primary_paired_delta_summary.csv,comparison_id=P4;target=success;scope=pooled;metric=ap,040d081d3359f75f1303f4c24d7f8be79b5da75d,grade=difference_uncertain; fixed draws=10000; no new draw in A1.8
E_A16_P4_SUCCESS_MACRO_F1,A1.6,success,fixed task-group cluster bootstrap over primary LOBO predictions,S6_termination_repetition_only-S0_full13,macro_f1_delta_A_minus_B,0.06574285736420449,-0.005231603187414294,0.14388565162907266,1.0,192,58,secondary,artifacts/a1_6_primary_paired_delta_summary.csv,comparison_id=P4;target=success;scope=macro;metric=f1,040d081d3359f75f1303f4c24d7f8be79b5da75d,grade=difference_uncertain; fixed draws=10000; no new draw in A1.8
E_A16_P5_LOOPING_MACRO_AP_LIFT,A1.6,looping,fixed task-group cluster bootstrap over primary LOBO predictions,B2,macro_ap_lift,0.4040609951077707,0.33362868486338715,0.5056523707256393,1.0,196,92,primary,artifacts/a1_6_primary_paired_delta_summary.csv,comparison_id=P5;target=looping;scope=macro;metric=ap_lift,040d081d3359f75f1303f4c24d7f8be79b5da75d,grade=stable_positive_under_bootstrap; fixed draws=10000; no new draw in A1.8
E_A16_P6_LOOPING_MACRO_AP,A1.6,looping,fixed task-group cluster bootstrap over primary LOBO predictions,S2_no_repetition-S0_full13,macro_ap_delta_A_minus_B,-0.03169777524847239,-0.08042580420530693,-0.004079121511197382,1.0,196,92,primary,artifacts/a1_6_primary_paired_delta_summary.csv,comparison_id=P6;target=looping;scope=macro;metric=ap,040d081d3359f75f1303f4c24d7f8be79b5da75d,grade=stable_drop_for_A_vs_B; fixed draws=10000; no new draw in A1.8
E_A16_P6_LOOPING_POOLED_AP,A1.6,looping,fixed task-group cluster bootstrap over primary LOBO predictions,S2_no_repetition-S0_full13,pooled_ap_delta_A_minus_B,-0.04233232096223949,-0.07873115541626254,0.014405863700615145,1.0,196,92,secondary,artifacts/a1_6_primary_paired_delta_summary.csv,comparison_id=P6;target=looping;scope=pooled;metric=ap,040d081d3359f75f1303f4c24d7f8be79b5da75d,grade=difference_uncertain; fixed draws=10000; no new draw in A1.8
E_A16_P6_LOOPING_MACRO_F1,A1.6,looping,fixed task-group cluster bootstrap over primary LOBO predictions,S2_no_repetition-S0_full13,macro_f1_delta_A_minus_B,0.005986064127529334,-0.007480870414202819,0.01954377092197409,1.0,196,92,secondary,artifacts/a1_6_primary_paired_delta_summary.csv,comparison_id=P6;target=looping;scope=macro;metric=f1,040d081d3359f75f1303f4c24d7f8be79b5da75d,grade=difference_uncertain; fixed draws=10000; no new draw in A1.8
E_A16_P7_LOOPING_MACRO_AP,A1.6,looping,fixed task-group cluster bootstrap over primary LOBO predictions,S6_termination_repetition_only-S0_full13,macro_ap_delta_A_minus_B,0.05051480630204919,-0.01889872787403564,0.11532393892603467,1.0,196,92,primary,artifacts/a1_6_primary_paired_delta_summary.csv,comparison_id=P7;target=looping;scope=macro;metric=ap,040d081d3359f75f1303f4c24d7f8be79b5da75d,grade=difference_uncertain; fixed draws=10000; no new draw in A1.8
E_A16_P7_LOOPING_POOLED_AP,A1.6,looping,fixed task-group cluster bootstrap over primary LOBO predictions,S6_termination_repetition_only-S0_full13,pooled_ap_delta_A_minus_B,0.07749168241532411,-0.002521604305317877,0.16605246217295888,1.0,196,92,secondary,artifacts/a1_6_primary_paired_delta_summary.csv,comparison_id=P7;target=looping;scope=pooled;metric=ap,040d081d3359f75f1303f4c24d7f8be79b5da75d,grade=difference_uncertain; fixed draws=10000; no new draw in A1.8
E_A16_P7_LOOPING_MACRO_F1,A1.6,looping,fixed task-group cluster bootstrap over primary LOBO predictions,S6_termination_repetition_only-S0_full13,macro_f1_delta_A_minus_B,-0.017446147509394883,-0.12807672245968374,0.04279380157742778,1.0,196,92,secondary,artifacts/a1_6_primary_paired_delta_summary.csv,comparison_id=P7;target=looping;scope=macro;metric=f1,040d081d3359f75f1303f4c24d7f8be79b5da75d,grade=difference_uncertain; fixed draws=10000; no new draw in A1.8
E_A16_P8_SIDE_EFFECT_MACRO_AP,A1.6,side_effect,fixed task-group cluster bootstrap over primary LOBO predictions,B3,macro_ap,0.11194123811143843,0.07216270090783845,0.349988337767026,0.9855,195,12,diagnostic,artifacts/a1_6_primary_paired_delta_summary.csv,comparison_id=P8;target=side_effect;scope=macro;metric=ap,040d081d3359f75f1303f4c24d7f8be79b5da75d,grade=support_diagnostic_only; fixed draws=10000; no new draw in A1.8
E_A17_SUCCESS_B4_MACRO_AP,A1.7,success,primary four-group LOBO frozen dense embedding,B4_dense_embedding_lr,macro AP,0.5445250857614568,,,,192,58,primary,artifacts/a1_7_macro_metrics.csv,target=success;baseline_id=B4_dense_embedding_lr,e24066fa27c027c60e2ac35b8305ea3d4a585493,macro F1=0.407043407043407; macro AP lift=0.2451203238566948
E_A17_SIDE_EFFECT_B4_MACRO_AP,A1.7,side_effect,primary four-group LOBO frozen dense embedding,B4_dense_embedding_lr,macro AP,0.14653246891260335,,,,195,12,diagnostic,artifacts/a1_7_macro_metrics.csv,target=side_effect;baseline_id=B4_dense_embedding_lr,e24066fa27c027c60e2ac35b8305ea3d4a585493,macro F1=0.1306671697164057; macro AP lift=0.07699223902754587
E_A17_LOOPING_B4_MACRO_AP,A1.7,looping,primary four-group LOBO frozen dense embedding,B4_dense_embedding_lr,macro AP,0.7946010610848203,,,,196,92,secondary,artifacts/a1_7_macro_metrics.csv,target=looping;baseline_id=B4_dense_embedding_lr,e24066fa27c027c60e2ac35b8305ea3d4a585493,macro F1=0.7817898997221215; macro AP lift=0.3478207580545173
E_A17_Q1_SUCCESS_MACRO_AP_LIFT,A1.7,success,fixed A1.6 task-group bootstrap registry over B4 and frozen comparators,B4_dense_embedding_lr,macro_ap_lift,0.2451203238566948,0.16498998069322013,0.3818543937496254,1.0,192,58,primary,artifacts/a1_7_bootstrap_primary_summary.csv,comparison_id=Q1;target=success;scope=macro;held_out_group=;metric=ap_lift,e24066fa27c027c60e2ac35b8305ea3d4a585493,grade=stable_positive_under_bootstrap; reused frozen A1.6 draw registry byte-for-byte
