target,variant_id,held_out_group,held_out_size,task_group_count,positive_count,negative_count,prevalence,predicted_positive_count,predicted_positive_rate,selected_config_id,selected_threshold,inner_n_splits,metric_status,pr_auc_average_precision,positive_f1,roc_auc,precision,recall,f2,balanced_accuracy,mcc,ap_lift,false_positive_count,false_positive_rate,specificity,probability_mean,probability_median,probability_max
side_effect,S3_no_activity_volume,assistantbench,24,6,0,24,0.0,4,0.16666666666666666,B2_C0p1_cw_balanced,0.65,5,single_class_negative,,,,,,,,,,4,0.16666666666666666,0.8333333333333334,0.5096093689193637,0.5077987761206022,0.9318990797165106
side_effect,S3_no_activity_volume,visualwebarena,24,8,2,22,0.08333333333333333,3,0.125,B2_C1p0_cw_balanced,0.7,5,ok,0.10238095238095238,0.0,0.40909090909090906,0.0,0.0,0.0,0.4318181818181818,-0.11396057645963795,0.01904761904761905,3,0.13636363636363635,0.8636363636363636,0.5177334156376241,0.5267527213571217,0.9532726738319268
side_effect,S3_no_activity_volume,webarena,87,22,8,79,0.09195402298850575,34,0.39080459770114945,B2_C10p0_cw_balanced,0.35,4,ok,0.06931346117779139,0.09523809523809523,0.2800632911392405,0.058823529411764705,0.25,0.15151515151515152,0.4224683544303797,-0.09183117541955786,-0.02264056181071436,32,0.4050632911392405,0.5949367088607596,0.2931474654900018,0.037966832865944815,0.8642046944822618
side_effect,S3_no_activity_volume,workarena,60,15,2,58,0.03333333333333333,15,0.25,B2_C0p1_cw_balanced,0.65,5,ok,0.027587450414713305,0.0,0.11206896551724138,0.0,0.0,0.0,0.3706896551724138,-0.1072112534837795,-0.005745882918620028,15,0.25862068965517243,0.7413793103448276,0.4723815162161279,0.4242422267617767,0.8636499535113569
looping,S3_no_activity_volume,assistantbench,24,6,11,13,0.4583333333333333,12,0.5,B2_C0p1_cw_none,0.45,5,ok,0.8254374413465323,0.8695652173913043,0.9020979020979021,0.8333333333333334,0.9090909090909091,0.8928571428571429,0.8776223776223776,0.7526178090063816,0.367104108013199,2,0.15384615384615385,0.8461538461538461,0.4704227295817822,0.40901256691110194,0.990838725782054
looping,S3_no_activity_volume,visualwebarena,24,8,7,17,0.2916666666666667,6,0.25,B2_C0p1_cw_none,0.55,5,ok,0.9093537414965986,0.7692307692307693,0.9663865546218487,0.8333333333333334,0.7142857142857143,0.7352941176470589,0.8277310924369747,0.6880329612324521,0.6176870748299319,1,0.058823529411764705,0.9411764705882353,0.36576666146689085,0.25956730681778195,0.9438129624290703
looping,S3_no_activity_volume,webarena,88,22,37,51,0.42045454545454547,31,0.3522727272727273,B2_C0p1_cw_balanced,0.45,5,ok,0.9112578889323495,0.7941176470588235,0.9300476947535771,0.8709677419354839,0.7297297297297297,0.7541899441340782,0.825649178590355,0.6730505105853104,0.490803343477804,4,0.0784313725490196,0.9215686274509804,0.36694801272630123,0.24204987528525135,0.9673908576999813
looping,S3_no_activity_volume,workarena,60,15,37,23,0.6166666666666667,46,0.7666666666666667,B2_C0p1_cw_none,0.35,5,ok,0.9527733686058191,0.8674698795180723,0.9306698002350178,0.782608695652174,0.972972972972973,0.9278350515463918,0.7690951821386605,0.618668158322934,0.3361067019391524,10,0.43478260869565216,0.5652173913043479,0.6634451612235192,0.7751172980801062,0.973676028286619
success,S4_no_error,assistantbench,24,6,2,22,0.08333333333333333,16,0.6666666666666666,B2_C10p0_cw_balanced,0.3,5,ok,0.14583333333333331,0.2222222222222222,0.5681818181818181,0.125,1.0,0.4166666666666667,0.6818181818181819,0.21320071635561041,0.062499999999999986,14,0.6363636363636364,0.36363636363636365,0.4789830207927202,0.6375316425630471,0.7824023354168052
success,S4_no_error,visualwebarena,24,8,12,12,0.5,10,0.4166666666666667,B2_C10p0_cw_balanced,0.55,5,ok,0.7026547526547526,0.7272727272727273,0.8125,0.8,0.6666666666666666,0.6896551724137931,0.75,0.50709255283711,0.20265475265475263,2,0.16666666666666666,0.8333333333333334,0.5482340626727517,0.5146445383173288,0.9984587817872035
