target,baseline_id,outer_fold,config_id,threshold,inner_f1,inner_precision,inner_recall,selected
success,B2,3,B2_C1p0_cw_balanced,0.3,0.6896551724137931,0.5263157894736842,1.0,False
success,B2,3,B2_C1p0_cw_balanced,0.35,0.7142857142857143,0.5555555555555556,1.0,False
success,B2,3,B2_C1p0_cw_balanced,0.4,0.6923076923076923,0.5625,0.9,False
success,B2,3,B2_C1p0_cw_balanced,0.45,0.72,0.6,0.9,False
success,B2,3,B2_C1p0_cw_balanced,0.5,0.72,0.6,0.9,False
success,B2,3,B2_C1p0_cw_balanced,0.55,0.72,0.6,0.9,False
success,B2,3,B2_C1p0_cw_balanced,0.6,0.72,0.6,0.9,False
success,B2,3,B2_C1p0_cw_balanced,0.65,0.72,0.6,0.9,False
success,B2,3,B2_C1p0_cw_balanced,0.7,0.7777777777777778,0.875,0.7,True
success,B2,3,B2_C1p0_cw_balanced,0.75,0.5714285714285714,1.0,0.4,False
success,B2,3,B2_C1p0_cw_balanced,0.8,0.5714285714285714,1.0,0.4,False
success,B2,3,B2_C1p0_cw_balanced,0.85,0.0,0.0,0.0,False
success,B2,3,B2_C1p0_cw_balanced,0.9,0.0,0.0,0.0,False
success,B2,3,B2_C1p0_cw_balanced,0.95,0.0,0.0,0.0,False
success,B2,4,B2_C10p0_cw_balanced,0.05,0.4864864864864865,0.32142857142857145,1.0,False
success,B2,4,B2_C10p0_cw_balanced,0.1,0.46153846153846156,0.35294117647058826,0.6666666666666666,False
success,B2,4,B2_C10p0_cw_balanced,0.15,0.47619047619047616,0.4166666666666667,0.5555555555555556,False
success,B2,4,B2_C10p0_cw_balanced,0.2,0.5,0.45454545454545453,0.5555555555555556,False
success,B2,4,B2_C10p0_cw_balanced,0.25,0.5,0.45454545454545453,0.5555555555555556,False
success,B2,4,B2_C10p0_cw_balanced,0.3,0.5,0.45454545454545453,0.5555555555555556,True
success,B2,4,B2_C10p0_cw_balanced,0.35,0.42105263157894735,0.4,0.4444444444444444,False
