source,method_id,held_out_group,original_positive_count,original_negative_count,task_group_count,metric,fixed_draw_count,valid_draw_count,invalid_single_class_draw_count,valid_draw_fraction,point_estimate,bootstrap_median,ci_lower_95,ci_upper_95,ci_width,support_note
a1_5,S2_no_repetition,visualwebarena,2,22,8,ap,10000,9056,944,0.9056,0.06944444444444445,0.08333333333333333,0.041666666666666664,0.20333333333333334,0.16166666666666668,invalid_single_class_resamples_retained_no_redraw
a1_5,S2_no_repetition,visualwebarena,2,22,8,f1,10000,9056,944,0.9056,0.0,0.0,0.0,0.0,0.0,invalid_single_class_resamples_retained_no_redraw
a1_5,S2_no_repetition,webarena,8,79,22,ap,10000,9869,131,0.9869,0.06746559143722096,0.0707070707070707,0.016666666666666666,0.16374735615601446,0.1470806894893478,invalid_single_class_resamples_retained_no_redraw
a1_5,S2_no_repetition,webarena,8,79,22,f1,10000,9869,131,0.9869,0.0,0.0,0.0,0.0,0.0,invalid_single_class_resamples_retained_no_redraw
a1_5,S2_no_repetition,workarena,2,58,15,ap,10000,8814,1186,0.8814,0.028722600151171576,0.03571428571428571,0.017241379310344827,0.08888888888888889,0.07164750957854407,invalid_single_class_resamples_retained_no_redraw
a1_5,S2_no_repetition,workarena,2,58,15,f1,10000,8814,1186,0.8814,0.0392156862745098,0.0392156862745098,0.0,0.13636363636363635,0.13636363636363635,invalid_single_class_resamples_retained_no_redraw
a1_5,S3_no_activity_volume,assistantbench,0,24,6,ap,10000,0,10000,0.0,,,,,,original_single_class_negative_no_ap_f1_ci
a1_5,S3_no_activity_volume,assistantbench,0,24,6,f1,10000,0,10000,0.0,,,,,,original_single_class_negative_no_ap_f1_ci
a1_5,S3_no_activity_volume,visualwebarena,2,22,8,ap,10000,9056,944,0.9056,0.10238095238095238,0.125,0.05,0.36507936507936506,0.31507936507936507,invalid_single_class_resamples_retained_no_redraw
a1_5,S3_no_activity_volume,visualwebarena,2,22,8,f1,10000,9056,944,0.9056,0.0,0.0,0.0,0.0,0.0,invalid_single_class_resamples_retained_no_redraw
a1_5,S3_no_activity_volume,webarena,8,79,22,ap,10000,9869,131,0.9869,0.06931346117779139,0.07284823852750372,0.015151515151515152,0.17515165623153042,0.16000014108001526,invalid_single_class_resamples_retained_no_redraw
a1_5,S3_no_activity_volume,webarena,8,79,22,f1,10000,9869,131,0.9869,0.09523809523809523,0.09090909090909091,0.0,0.21939393939393645,0.21939393939393645,invalid_single_class_resamples_retained_no_redraw
a1_5,S3_no_activity_volume,workarena,2,58,15,ap,10000,8814,1186,0.8814,0.027587450414713305,0.03389830508474576,0.016666666666666666,0.08333333333333333,0.06666666666666667,invalid_single_class_resamples_retained_no_redraw
a1_5,S3_no_activity_volume,workarena,2,58,15,f1,10000,8814,1186,0.8814,0.0,0.0,0.0,0.0,0.0,invalid_single_class_resamples_retained_no_redraw
a1_5,S4_no_error,assistantbench,0,24,6,ap,10000,0,10000,0.0,,,,,,original_single_class_negative_no_ap_f1_ci
a1_5,S4_no_error,assistantbench,0,24,6,f1,10000,0,10000,0.0,,,,,,original_single_class_negative_no_ap_f1_ci
a1_5,S4_no_error,visualwebarena,2,22,8,ap,10000,9056,944,0.9056,0.07393483709273183,0.09090909090909091,0.041666666666666664,0.20297619047619048,0.16130952380952382,invalid_single_class_resamples_retained_no_redraw
a1_5,S4_no_error,visualwebarena,2,22,8,f1,10000,9056,944,0.9056,0.09090909090909091,0.09090909090909091,0.0,0.2727272727272727,0.2727272727272727,invalid_single_class_resamples_retained_no_redraw
a1_5,S4_no_error,webarena,8,79,22,ap,10000,9869,131,0.9869,0.08143699959992959,0.08847403500151156,0.018867924528301886,0.25121881754539405,0.23235089301709216,invalid_single_class_resamples_retained_no_redraw
a1_5,S4_no_error,webarena,8,79,22,f1,10000,9869,131,0.9869,0.06666666666666667,0.06451612903225806,0.0,0.19047619047619047,0.19047619047619047,invalid_single_class_resamples_retained_no_redraw
a1_5,S4_no_error,workarena,2,58,15,ap,10000,8814,1186,0.8814,0.03522727272727273,0.04260260925819437,0.020833333333333332,0.09090909090909091,0.07007575757575758,invalid_single_class_resamples_retained_no_redraw
a1_5,S4_no_error,workarena,2,58,15,f1,10000,8814,1186,0.8814,0.0,0.0,0.0,0.0,0.0,invalid_single_class_resamples_retained_no_redraw
a1_5,S5_no_termination_or_repetition,assistantbench,0,24,6,ap,10000,0,10000,0.0,,,,,,original_single_class_negative_no_ap_f1_ci
a1_5,S5_no_termination_or_repetition,assistantbench,0,24,6,f1,10000,0,10000,0.0,,,,,,original_single_class_negative_no_ap_f1_ci
a1_5,S5_no_termination_or_repetition,visualwebarena,2,22,8,ap,10000,9056,944,0.9056,0.075,0.08712121212121213,0.041666666666666664,0.23529411764705882,0.19362745098039216,invalid_single_class_resamples_retained_no_redraw
a1_5,S5_no_termination_or_repetition,visualwebarena,2,22,8,f1,10000,9056,944,0.9056,0.0,0.0,0.0,0.0,0.0,invalid_single_class_resamples_retained_no_redraw
a1_5,S5_no_termination_or_repetition,webarena,8,79,22,ap,10000,9869,131,0.9869,0.06913230951881434,0.07316123995986638,0.018867924528301886,0.16880742634795473,0.14993950181965285,invalid_single_class_resamples_retained_no_redraw
a1_5,S5_no_termination_or_repetition,webarena,8,79,22,f1,10000,9869,131,0.9869,0.0,0.0,0.0,0.0,0.0,invalid_single_class_resamples_retained_no_redraw
a1_5,S5_no_termination_or_repetition,workarena,2,58,15,ap,10000,8814,1186,0.8814,0.027661064425770307,0.037037037037037035,0.017543859649122806,0.08695652173913043,0.06941266209000763,invalid_single_class_resamples_retained_no_redraw
a1_5,S5_no_termination_or_repetition,workarena,2,58,15,f1,10000,8814,1186,0.8814,0.06451612903225806,0.06451612903225806,0.03278688524590164,0.15384615384615385,0.1210592686002522,invalid_single_class_resamples_retained_no_redraw
a1_5,S6_termination_repetition_only,assistantbench,0,24,6,ap,10000,0,10000,0.0,,,,,,original_single_class_negative_no_ap_f1_ci
a1_5,S6_termination_repetition_only,assistantbench,0,24,6,f1,10000,0,10000,0.0,,,,,,original_single_class_negative_no_ap_f1_ci
a1_5,S6_termination_repetition_only,visualwebarena,2,22,8,ap,10000,9056,944,0.9056,0.0804093567251462,0.1,0.045454545454545456,0.2222222222222222,0.17676767676767674,invalid_single_class_resamples_retained_no_redraw
a1_5,S6_termination_repetition_only,visualwebarena,2,22,8,f1,10000,9056,944,0.9056,0.0,0.0,0.0,0.0,0.0,invalid_single_class_resamples_retained_no_redraw
a1_5,S6_termination_repetition_only,webarena,8,79,22,ap,10000,9869,131,0.9869,0.07379629899867013,0.07561860547168578,0.014705882352941176,0.1785544243887746,0.16384854203583343,invalid_single_class_resamples_retained_no_redraw
a1_5,S6_termination_repetition_only,webarena,8,79,22,f1,10000,9869,131,0.9869,0.05405405405405406,0.05128205128205128,0.0,0.16666666666666666,0.16666666666666666,invalid_single_class_resamples_retained_no_redraw
a1_5,S6_termination_repetition_only,workarena,2,58,15,ap,10000,8814,1186,0.8814,0.029284591194968554,0.037037037037037035,0.01818181818181818,0.07699795198543634,0.05881613380361816,invalid_single_class_resamples_retained_no_redraw
a1_5,S6_termination_repetition_only,workarena,2,58,15,f1,10000,8814,1186,0.8814,0.0,0.0,0.0,0.0,0.0,invalid_single_class_resamples_retained_no_redraw
