target,held_out_group,variant_id,config_id,inner_n_splits,inner_oof_size,inner_oof_pr_auc,selected,tie_break_rank
success,visualwebarena,S2_no_repetition,B2_C10p0_cw_balanced,5,168,0.5938325833386681,False,6
success,webarena,S2_no_repetition,B2_C0p1_cw_none,5,108,0.6351089202969837,False,1
success,webarena,S2_no_repetition,B2_C1p0_cw_none,5,108,0.7289492846608155,True,2
success,webarena,S2_no_repetition,B2_C10p0_cw_none,5,108,0.7084142513375475,False,3
success,webarena,S2_no_repetition,B2_C0p1_cw_balanced,5,108,0.628943490277387,False,4
success,webarena,S2_no_repetition,B2_C1p0_cw_balanced,5,108,0.7203590640332683,False,5
success,webarena,S2_no_repetition,B2_C10p0_cw_balanced,5,108,0.718549473683993,False,6
success,workarena,S2_no_repetition,B2_C0p1_cw_none,5,132,0.4542088004631722,False,1
success,workarena,S2_no_repetition,B2_C1p0_cw_none,5,132,0.4902922541390614,False,2
success,workarena,S2_no_repetition,B2_C10p0_cw_none,5,132,0.4883232429081543,False,3
success,workarena,S2_no_repetition,B2_C0p1_cw_balanced,5,132,0.46121195292508843,False,4
success,workarena,S2_no_repetition,B2_C1p0_cw_balanced,5,132,0.49369239090770345,False,5
success,workarena,S2_no_repetition,B2_C10p0_cw_balanced,5,132,0.4953043522026244,True,6
side_effect,assistantbench,S2_no_repetition,B2_C0p1_cw_none,5,171,0.10200336644629068,True,1
side_effect,assistantbench,S2_no_repetition,B2_C1p0_cw_none,5,171,0.09860610974246922,False,2
side_effect,assistantbench,S2_no_repetition,B2_C10p0_cw_none,5,171,0.09705761352017725,False,3
side_effect,assistantbench,S2_no_repetition,B2_C0p1_cw_balanced,5,171,0.10133799917980513,False,4
side_effect,assistantbench,S2_no_repetition,B2_C1p0_cw_balanced,5,171,0.09363291247129213,False,5
side_effect,assistantbench,S2_no_repetition,B2_C10p0_cw_balanced,5,171,0.08919951718684056,False,6
side_effect,visualwebarena,S2_no_repetition,B2_C0p1_cw_none,5,171,0.06326319463084956,False,1
side_effect,visualwebarena,S2_no_repetition,B2_C1p0_cw_none,5,171,0.05958807889893229,False,2
side_effect,visualwebarena,S2_no_repetition,B2_C10p0_cw_none,5,171,0.05966630045420672,False,3
side_effect,visualwebarena,S2_no_repetition,B2_C0p1_cw_balanced,5,171,0.0651045757611048,False,4
side_effect,visualwebarena,S2_no_repetition,B2_C1p0_cw_balanced,5,171,0.061176267865680395,False,5
side_effect,visualwebarena,S2_no_repetition,B2_C10p0_cw_balanced,5,171,0.06566384545238227,True,6
side_effect,webarena,S2_no_repetition,B2_C0p1_cw_none,4,108,0.04809997967892705,False,1
side_effect,webarena,S2_no_repetition,B2_C1p0_cw_none,4,108,0.05881251683577265,False,2
side_effect,webarena,S2_no_repetition,B2_C10p0_cw_none,4,108,0.06765462337751495,False,3
side_effect,webarena,S2_no_repetition,B2_C0p1_cw_balanced,4,108,0.05791303817352712,False,4
side_effect,webarena,S2_no_repetition,B2_C1p0_cw_balanced,4,108,0.0750116495806151,False,5
side_effect,webarena,S2_no_repetition,B2_C10p0_cw_balanced,4,108,0.07705947169361803,True,6
side_effect,workarena,S2_no_repetition,B2_C0p1_cw_none,5,135,0.060630740338195474,False,1
side_effect,workarena,S2_no_repetition,B2_C1p0_cw_none,5,135,0.06139525219976348,False,2
side_effect,workarena,S2_no_repetition,B2_C10p0_cw_none,5,135,0.06260244763857642,False,3
side_effect,workarena,S2_no_repetition,B2_C0p1_cw_balanced,5,135,0.07025715132348762,False,4
side_effect,workarena,S2_no_repetition,B2_C1p0_cw_balanced,5,135,0.07434008100887908,True,5
side_effect,workarena,S2_no_repetition,B2_C10p0_cw_balanced,5,135,0.07326483892253263,False,6
looping,assistantbench,S2_no_repetition,B2_C0p1_cw_none,5,172,0.8108371196487622,False,1
looping,assistantbench,S2_no_repetition,B2_C1p0_cw_none,5,172,0.8693430823066374,False,2
looping,assistantbench,S2_no_repetition,B2_C10p0_cw_none,5,172,0.8670587518446149,False,3
looping,assistantbench,S2_no_repetition,B2_C0p1_cw_balanced,5,172,0.8085132122841734,False,4
looping,assistantbench,S2_no_repetition,B2_C1p0_cw_balanced,5,172,0.8704519286978621,True,5
looping,assistantbench,S2_no_repetition,B2_C10p0_cw_balanced,5,172,0.8680525906569161,False,6
looping,visualwebarena,S2_no_repetition,B2_C0p1_cw_none,5,172,0.853237940060251,False,1
looping,visualwebarena,S2_no_repetition,B2_C1p0_cw_none,5,172,0.8690198197400455,False,2
looping,visualwebarena,S2_no_repetition,B2_C10p0_cw_none,5,172,0.8728385070302784,True,3
looping,visualwebarena,S2_no_repetition,B2_C0p1_cw_balanced,5,172,0.852394420259434,False,4
looping,visualwebarena,S2_no_repetition,B2_C1p0_cw_balanced,5,172,0.8676018263651798,False,5
looping,visualwebarena,S2_no_repetition,B2_C10p0_cw_balanced,5,172,0.8717873457539931,False,6
looping,webarena,S2_no_repetition,B2_C0p1_cw_none,5,108,0.8441978831439303,False,1
looping,webarena,S2_no_repetition,B2_C1p0_cw_none,5,108,0.8492238051075667,False,2
looping,webarena,S2_no_repetition,B2_C10p0_cw_none,5,108,0.8538239512392826,True,3
looping,webarena,S2_no_repetition,B2_C0p1_cw_balanced,5,108,0.839345246081641,False,4
looping,webarena,S2_no_repetition,B2_C1p0_cw_balanced,5,108,0.8486744207206994,False,5
looping,webarena,S2_no_repetition,B2_C10p0_cw_balanced,5,108,0.8534068245063663,False,6
looping,workarena,S2_no_repetition,B2_C0p1_cw_none,5,136,0.8643551225156425,False,1
looping,workarena,S2_no_repetition,B2_C1p0_cw_none,5,136,0.8523952142228717,False,2
looping,workarena,S2_no_repetition,B2_C10p0_cw_none,5,136,0.8635376566055101,False,3
looping,workarena,S2_no_repetition,B2_C0p1_cw_balanced,5,136,0.868832656475935,True,4
looping,workarena,S2_no_repetition,B2_C1p0_cw_balanced,5,136,0.8479978775094075,False,5
looping,workarena,S2_no_repetition,B2_C10p0_cw_balanced,5,136,0.863710478777743,False,6
success,assistantbench,S3_no_activity_volume,B2_C0p1_cw_none,5,168,0.4572398948322076,False,1
success,assistantbench,S3_no_activity_volume,B2_C1p0_cw_none,5,168,0.4588030891978275,False,2
success,assistantbench,S3_no_activity_volume,B2_C10p0_cw_none,5,168,0.4587130560469972,False,3
success,assistantbench,S3_no_activity_volume,B2_C0p1_cw_balanced,5,168,0.4648313094307586,True,4
success,assistantbench,S3_no_activity_volume,B2_C1p0_cw_balanced,5,168,0.4593154403782763,False,5
success,assistantbench,S3_no_activity_volume,B2_C10p0_cw_balanced,5,168,0.45249034417330003,False,6
success,visualwebarena,S3_no_activity_volume,B2_C0p1_cw_none,5,168,0.3472397699572399,False,1
success,visualwebarena,S3_no_activity_volume,B2_C1p0_cw_none,5,168,0.36395354006292874,False,2
success,visualwebarena,S3_no_activity_volume,B2_C10p0_cw_none,5,168,0.36681414385691613,True,3
success,visualwebarena,S3_no_activity_volume,B2_C0p1_cw_balanced,5,168,0.34544835212814806,False,4
success,visualwebarena,S3_no_activity_volume,B2_C1p0_cw_balanced,5,168,0.35419107647109355,False,5
success,visualwebarena,S3_no_activity_volume,B2_C10p0_cw_balanced,5,168,0.35761190426771944,False,6
success,webarena,S3_no_activity_volume,B2_C0p1_cw_none,5,108,0.5260665945805885,False,1
success,webarena,S3_no_activity_volume,B2_C1p0_cw_none,5,108,0.6606601003200958,False,2
success,webarena,S3_no_activity_volume,B2_C10p0_cw_none,5,108,0.6618449454243429,True,3
success,webarena,S3_no_activity_volume,B2_C0p1_cw_balanced,5,108,0.5370204870824391,False,4
