target,baseline_id,outer_fold,config_id,inner_train_size,inner_validation_size,inner_pr_auc,selected,tie_break_rank
looping,B3,2,B3_T1_C0p1_cw_balanced,126,31,0.6630796339794518,False,4
looping,B3,2,B3_T1_C1p0_cw_balanced,126,31,0.6808475432613362,False,5
looping,B3,2,B3_T1_C10p0_cw_balanced,126,31,0.6314456716060369,False,6
looping,B3,2,B3_T2_C0p1_cw_none,126,31,0.6778789642213287,False,7
looping,B3,2,B3_T2_C1p0_cw_none,126,31,0.7286254796107012,False,8
looping,B3,2,B3_T2_C10p0_cw_none,126,31,0.7806728603345525,True,9
looping,B3,2,B3_T2_C0p1_cw_balanced,126,31,0.6778789642213287,False,10
looping,B3,2,B3_T2_C1p0_cw_balanced,126,31,0.7271969081821298,False,11
looping,B3,2,B3_T2_C10p0_cw_balanced,126,31,0.7806728603345525,False,12
looping,B3,3,B3_T1_C0p1_cw_none,127,31,0.5986729606372464,False,1
looping,B3,3,B3_T1_C1p0_cw_none,127,31,0.5991856657192792,False,2
looping,B3,3,B3_T1_C10p0_cw_none,127,31,0.5779166633768772,False,3
looping,B3,3,B3_T1_C0p1_cw_balanced,127,31,0.6030019649662507,False,4
looping,B3,3,B3_T1_C1p0_cw_balanced,127,31,0.5991856657192792,False,5
looping,B3,3,B3_T1_C10p0_cw_balanced,127,31,0.5755823963367278,False,6
looping,B3,3,B3_T2_C0p1_cw_none,127,31,0.6345561775603792,False,7
looping,B3,3,B3_T2_C1p0_cw_none,127,31,0.6312823680365698,False,8
looping,B3,3,B3_T2_C10p0_cw_none,127,31,0.6378696898339756,False,9
looping,B3,3,B3_T2_C0p1_cw_balanced,127,31,0.6393180823222839,True,10
looping,B3,3,B3_T2_C1p0_cw_balanced,127,31,0.6312823680365698,False,11
looping,B3,3,B3_T2_C10p0_cw_balanced,127,31,0.6378696898339756,False,12
looping,B3,4,B3_T1_C0p1_cw_none,126,31,0.8265883750102325,False,1
looping,B3,4,B3_T1_C1p0_cw_none,126,31,0.8270840718421362,False,2
looping,B3,4,B3_T1_C10p0_cw_none,126,31,0.8110358343653272,False,3
looping,B3,4,B3_T1_C0p1_cw_balanced,126,31,0.8324325308543884,True,4
looping,B3,4,B3_T1_C1p0_cw_balanced,126,31,0.8270840718421362,False,5
looping,B3,4,B3_T1_C10p0_cw_balanced,126,31,0.8110358343653272,False,6
looping,B3,4,B3_T2_C0p1_cw_none,126,31,0.8179871781212205,False,7
looping,B3,4,B3_T2_C1p0_cw_none,126,31,0.8241496431072148,False,8
looping,B3,4,B3_T2_C10p0_cw_none,126,31,0.798002774103203,False,9
looping,B3,4,B3_T2_C0p1_cw_balanced,126,31,0.8179871781212205,False,10
looping,B3,4,B3_T2_C1p0_cw_balanced,126,31,0.8241496431072148,False,11
looping,B3,4,B3_T2_C10p0_cw_balanced,126,31,0.798002774103203,False,12
looping,B3,5,B3_T1_C0p1_cw_none,124,31,0.7530248045727921,True,1
looping,B3,5,B3_T1_C1p0_cw_none,124,31,0.7503941409339655,False,2
looping,B3,5,B3_T1_C10p0_cw_none,124,31,0.7474705995758626,False,3
looping,B3,5,B3_T1_C0p1_cw_balanced,124,31,0.7395512173707662,False,4
looping,B3,5,B3_T1_C1p0_cw_balanced,124,31,0.7503941409339655,False,5
looping,B3,5,B3_T1_C10p0_cw_balanced,124,31,0.743938417472252,False,6
looping,B3,5,B3_T2_C0p1_cw_none,124,31,0.7243755924889465,False,7
looping,B3,5,B3_T2_C1p0_cw_none,124,31,0.7104928597619884,False,8
looping,B3,5,B3_T2_C10p0_cw_none,124,31,0.7319667814780596,False,9
looping,B3,5,B3_T2_C0p1_cw_balanced,124,31,0.7163076005393756,False,10
looping,B3,5,B3_T2_C1p0_cw_balanced,124,31,0.7104928597619884,False,11
looping,B3,5,B3_T2_C10p0_cw_balanced,124,31,0.7319667814780596,False,12
