metric_name,target,exact_value,display_value,source_artifact,table_id,figure_id,allowed_sections,rounding_rule,verified
point_estimate,success,0.18040488054956272,0.180,artifacts/a2_3_table_3_dev_representation_summary.csv,Table3_Dev_Representation_Robustness,,Results R1;Results R2;Appendix,predictive_metric_3_decimal_places,true
CI_low_95,success,0.10839777834625249,0.108,artifacts/a2_3_table_3_dev_representation_summary.csv,Table3_Dev_Representation_Robustness,,Results R1;Results R2;Appendix,predictive_metric_3_decimal_places,true
CI_high_95,success,0.34357566863044275,0.344,artifacts/a2_3_table_3_dev_representation_summary.csv,Table3_Dev_Representation_Robustness,,Results R1;Results R2;Appendix,predictive_metric_3_decimal_places,true
point_estimate,success,0.056952764093636365,0.057,artifacts/a2_3_table_3_dev_representation_summary.csv,Table3_Dev_Representation_Robustness,,Results R1;Results R2;Appendix,predictive_metric_3_decimal_places,true
CI_low_95,success,-0.12028102081779071,-0.120,artifacts/a2_3_table_3_dev_representation_summary.csv,Table3_Dev_Representation_Robustness,,Results R1;Results R2;Appendix,predictive_metric_3_decimal_places,true
CI_high_95,success,0.2557532531304567,0.256,artifacts/a2_3_table_3_dev_representation_summary.csv,Table3_Dev_Representation_Robustness,,Results R1;Results R2;Appendix,predictive_metric_3_decimal_places,true
point_estimate,looping,0.4040609951077707,0.404,artifacts/a2_3_table_3_dev_representation_summary.csv,Table3_Dev_Representation_Robustness,,Results R1;Results R2;Appendix,predictive_metric_3_decimal_places,true
CI_low_95,looping,0.33362868486338715,0.334,artifacts/a2_3_table_3_dev_representation_summary.csv,Table3_Dev_Representation_Robustness,,Results R1;Results R2;Appendix,predictive_metric_3_decimal_places,true
CI_high_95,looping,0.5056523707256393,0.506,artifacts/a2_3_table_3_dev_representation_summary.csv,Table3_Dev_Representation_Robustness,,Results R1;Results R2;Appendix,predictive_metric_3_decimal_places,true
point_estimate,looping,-0.03169777524847239,-0.032,artifacts/a2_3_table_3_dev_representation_summary.csv,Table3_Dev_Representation_Robustness,,Results R1;Results R2;Appendix,predictive_metric_3_decimal_places,true
